"Date","Price","Open","High","Low","Change %"
"Jul 24, 2014","132.830","132.070","132.950","132.070","0.52%"
"Jul 23, 2014","132.145","132.120","132.205","131.810","-0.03%"
"Jul 22, 2014","132.180","132.440","132.500","132.000","-0.24%"
"Jul 21, 2014","132.495","132.770","132.825","132.330","-0.24%"
"Jul 18, 2014","132.815","132.750","133.565","132.610","0.02%"
"Jul 17, 2014","132.785","133.130","133.365","132.310","-0.29%"
"Jul 16, 2014","133.165","132.480","133.695","132.480","0.49%"
"Jul 15, 2014","132.515","131.470","132.725","131.430","0.75%"
"Jul 14, 2014","131.525","131.410","131.685","131.270","0.03%"
"Jul 11, 2014","131.490","130.700","131.740","130.700","0.55%"
"Jul 10, 2014","130.770","130.560","130.830","130.170","0.12%"
"Jul 09, 2014","130.610","130.490","130.710","130.480","0.03%"
"Jul 08, 2014","130.570","130.440","130.630","130.370","0.05%"
"Jul 07, 2014","130.510","130.160","130.560","130.040","0.20%"
"Jul 04, 2014","130.250","130.170","130.360","130.080","0.02%"
"Jul 03, 2014","130.225","130.200","130.445","130.050","-0.03%"
"Jul 02, 2014","130.270","130.350","130.450","130.160","-0.13%"
"Jul 01, 2014","130.435","130.510","130.705","130.340","-0.11%"
"Jun 30, 2014","130.575","130.700","130.825","130.380","-0.20%"
"Jun 27, 2014","130.835","131.100","131.225","130.680","-0.24%"
"Jun 26, 2014","131.155","131.520","131.585","131.040","-0.32%"
"Jun 25, 2014","131.575","131.320","131.805","131.320","0.09%"
"Jun 24, 2014","131.455","131.330","131.565","131.210","-0.01%"
"Jun 23, 2014","131.465","131.690","131.825","131.220","-0.21%"
"Jun 20, 2014","131.740","131.400","131.770","131.390","0.21%"
"Jun 19, 2014","131.460","131.880","131.940","131.190","-0.41%"
"Jun 18, 2014","131.995","131.810","132.155","131.800","0.11%"
"Jun 17, 2014","131.845","131.590","131.995","131.580","0.14%"
"Jun 16, 2014","131.655","131.300","131.675","131.300","0.24%"
"Jun 13, 2014","131.335","131.270","131.445","131.200","0.03%"
"Jun 12, 2014","131.290","131.010","131.410","131.010","0.19%"
"Jun 11, 2014","131.040","131.190","131.240","130.970","-0.14%"
"Jun 10, 2014","131.225","131.110","131.335","130.970","0.05%"
"Jun 09, 2014","131.165","131.530","131.585","131.010","-0.30%"
"Jun 06, 2014","131.565","131.570","131.605","131.520","-0.05%"
"Jun 05, 2014","131.635","131.950","132.335","131.510","-0.29%"
"Jun 04, 2014","132.015","131.950","132.015","131.940","-0.00%"
"Jun 03, 2014","132.020","132.060","132.340","131.900","-0.08%"
"Jun 02, 2014","132.125","131.600","132.265","131.590","0.35%"
"May 30, 2014","131.670","131.630","131.820","131.280","-0.01%"
"May 29, 2014","131.685","131.750","131.945","131.560","-0.12%"
"May 28, 2014","131.840","131.940","132.160","131.670","-0.18%"
"May 27, 2014","132.075","132.020","132.205","131.890","-0.03%"
"May 26, 2014","132.110","132.120","132.230","131.970","-0.06%"
"May 23, 2014","132.185","132.060","132.285","131.930","0.02%"
"May 22, 2014","132.165","132.430","132.535","132.040","-0.24%"
"May 21, 2014","132.480","132.210","132.690","132.110","0.15%"
"May 20, 2014","132.275","131.770","132.625","131.740","0.28%"
"May 19, 2014","131.900","132.010","132.220","131.750","-0.12%"
"May 16, 2014","132.065","132.200","132.565","132.010","-0.12%"
"May 15, 2014","132.230","132.550","132.680","132.190","-0.28%"
"May 14, 2014","132.605","131.850","132.695","131.720","0.53%"
"May 13, 2014","131.905","132.120","132.175","131.770","-0.20%"
"May 12, 2014","132.175","132.080","132.385","132.030","0.04%"
"May 09, 2014","132.125","131.880","132.215","131.660","0.14%"
"May 08, 2014","131.935","131.870","132.245","131.790","0.03%"
"May 07, 2014","131.895","132.800","132.825","131.870","-0.74%"
"May 06, 2014","132.885","132.800","132.885","132.780","0.00%"
"May 05, 2014","132.885","132.790","132.885","132.780","0.01%"
"May 02, 2014","132.875","133.210","133.305","132.780","-0.33%"
"May 01, 2014","133.315","133.210","133.315","133.190","0.00%"
"Apr 30, 2014","133.310","132.820","133.410","132.810","0.32%"
"Apr 29, 2014","132.880","133.480","133.540","132.810","-0.48%"
"Apr 28, 2014","133.515","134.250","134.295","133.460","-0.58%"
"Apr 25, 2014","134.290","134.070","134.340","133.710","0.14%"
"Apr 24, 2014","134.105","134.060","134.105","133.650","0.01%"
"Apr 23, 2014","134.095","133.810","134.325","133.800","0.17%"
"Apr 22, 2014","133.870","133.940","134.410","133.720","-0.10%"
"Apr 21, 2014","134.000","133.770","134.070","133.670","0.10%"
"Apr 18, 2014","133.860","133.860","134.060","133.550","-0.05%"
"Apr 17, 2014","133.925","133.890","134.085","133.340","-0.01%"
"Apr 16, 2014","133.940","134.170","134.760","133.720","-0.26%"
"Apr 15, 2014","134.290","134.040","134.660","133.990","0.15%"
"Apr 14, 2014","134.095","133.550","134.215","133.530","0.39%"
"Apr 11, 2014","133.580","134.130","134.520","133.250","-0.43%"
"Apr 10, 2014","134.160","134.290","134.340","133.000","-0.12%"
"Apr 09, 2014","134.325","135.680","135.715","134.110","-1.02%"
"Apr 08, 2014","135.715","136.050","136.095","135.630","-0.29%"
"Apr 07, 2014","136.105","135.850","136.175","135.480","0.14%"
"Apr 04, 2014","135.920","136.330","136.490","135.740","-0.35%"
"Apr 03, 2014","136.395","136.300","136.625","136.240","0.02%"
"Apr 02, 2014","136.365","136.400","136.475","136.040","-0.07%"
"Apr 01, 2014","136.465","137.250","137.325","136.380","-0.60%"
"Mar 31, 2014","137.285","137.780","137.835","137.140","-0.46%"
"Mar 28, 2014","137.925","138.120","138.265","137.510","-0.17%"
"Mar 27, 2014","138.160","138.500","138.710","137.990","-0.30%"
"Mar 26, 2014","138.575","139.110","139.185","138.350","-0.43%"
"Mar 25, 2014","139.180","138.920","139.320","138.680","0.18%"
"Mar 24, 2014","138.935","139.140","139.455","138.850","-0.20%"
"Mar 21, 2014","139.210","138.620","139.520","138.600","0.34%"
"Mar 20, 2014","138.745","137.820","138.815","137.810","0.63%"
"Mar 19, 2014","137.875","137.630","138.135","137.500","0.13%"
"Mar 18, 2014","137.700","137.380","137.810","137.200","0.16%"
"Mar 17, 2014","137.480","138.090","138.290","137.370","-0.32%"
"Mar 14, 2014","137.915","137.660","138.255","137.520","0.09%"
"Mar 13, 2014","137.795","137.800","137.975","137.290","-0.05%"
"Mar 12, 2014","137.865","137.210","137.975","137.210","0.43%"
"Mar 11, 2014","137.275","137.420","137.505","136.940","-0.17%"
"Mar 10, 2014","137.515","137.110","137.565","137.070","0.19%"
"Mar 07, 2014","137.250","137.110","137.260","136.570","0.06%"
"Mar 06, 2014","137.170","137.970","138.290","137.040","-0.63%"
"Mar 05, 2014","138.035","138.020","138.225","137.520","-0.01%"
"Mar 04, 2014","138.050","137.840","138.350","137.820","0.13%"
"Mar 03, 2014","137.875","137.490","138.565","137.480","0.32%"
"Feb 28, 2014","137.430","137.710","137.780","137.010","-0.29%"
"Feb 27, 2014","137.830","137.300","138.180","137.270","0.35%"
"Feb 26, 2014","137.345","138.260","138.485","137.150","-0.75%"
"Feb 25, 2014","138.380","138.420","138.560","137.710","-0.08%"
"Feb 24, 2014","138.490","138.210","139.100","138.210","0.10%"
"Feb 21, 2014","138.355","138.220","138.825","138.080","0.08%"
"Feb 20, 2014","138.250","137.360","138.450","137.350","0.60%"
"Feb 19, 2014","137.420","137.340","137.910","137.180","0.01%"
"Feb 18, 2014","137.410","136.710","137.540","136.560","0.49%"
"Feb 17, 2014","136.745","137.050","137.115","136.400","-0.28%"
"Feb 14, 2014","137.125","137.410","137.485","136.660","-0.26%"
"Feb 13, 2014","137.480","136.920","137.540","136.730","0.36%"
"Feb 12, 2014","136.985","138.050","138.125","136.870","-0.78%"
"Feb 11, 2014","138.065","138.230","138.395","137.980","-0.17%"
"Feb 10, 2014","138.295","138.430","138.535","137.910","-0.19%"
"Feb 07, 2014","138.555","139.030","139.165","138.250","-0.36%"
"Feb 06, 2014","139.060","138.820","139.130","138.300","0.12%"
"Feb 05, 2014","138.890","139.560","139.630","138.440","-0.52%"
"Feb 04, 2014","139.620","139.590","140.380","139.270","-0.03%"
"Feb 03, 2014","139.660","139.150","139.810","138.850","0.27%"
"Jan 31, 2014","139.280","139.040","139.290","139.040","0.12%"
"Jan 30, 2014","139.110","137.790","139.210","137.690","0.94%"
"Jan 29, 2014","137.820","138.970","139.030","137.550","-0.87%"
"Jan 28, 2014","139.030","139.540","139.610","138.730","-0.38%"
"Jan 27, 2014","139.555","139.130","140.085","139.120","0.28%"
"Jan 24, 2014","139.170","138.310","139.220","138.290","0.58%"
"Jan 23, 2014","138.365","137.570","138.505","137.560","0.55%"
"Jan 22, 2014","137.605","137.300","137.985","137.290","0.20%"
"Jan 21, 2014","137.330","137.110","137.380","136.990","0.13%"
"Jan 20, 2014","137.145","136.760","137.395","136.760","0.17%"
