"Date","Price","Open","High","Low","Change %"
"Jan 03, 2011","1,741.36","1,744.39","1,759.92","1,734.25","-0.46%"
"Dec 31, 2010","1,749.32","1,743.84","1,755.19","1,730.83","0.27%"
"Dec 30, 2010","1,744.61","1,775.96","1,778.45","1,734.96","-1.83%"
"Dec 29, 2010","1,777.08","1,757.48","1,779.24","1,754.28","0.91%"
"Dec 28, 2010","1,760.99","1,771.37","1,781.17","1,753.82","-0.61%"
"Dec 27, 2010","1,771.74","1,776.91","1,779.24","1,765.63","-0.32%"
"Dec 24, 2010","1,777.36","1,777.27","1,785.88","1,770.34","-0.05%"
"Dec 23, 2010","1,778.17","1,775.16","1,783.31","1,768.24","0.12%"
"Dec 22, 2010","1,776.07","1,786.90","1,794.62","1,770.81","-0.70%"
"Dec 21, 2010","1,788.51","1,789.78","1,798.39","1,780.19","-0.19%"
"Dec 20, 2010","1,791.85","1,790.67","1,819.11","1,783.81","-0.22%"
"Dec 17, 2010","1,795.75","1,805.15","1,807.74","1,784.90","-0.55%"
"Dec 16, 2010","1,805.77","1,795.10","1,806.58","1,787.19","0.58%"
"Dec 15, 2010","1,795.37","1,797.46","1,824.11","1,793.60","-0.15%"
"Dec 14, 2010","1,798.13","1,815.24","1,817.06","1,792.04","-1.01%"
"Dec 13, 2010","1,816.54","1,806.51","1,821.80","1,797.09","0.43%"
"Dec 10, 2010","1,808.85","1,794.40","1,810.22","1,789.69","0.69%"
"Dec 09, 2010","1,796.38","1,805.26","1,809.92","1,789.49","-0.55%"
"Dec 08, 2010","1,806.40","1,784.26","1,810.56","1,782.11","1.21%"
"Dec 07, 2010","1,784.88","1,787.00","1,790.76","1,779.79","-0.21%"
"Dec 06, 2010","1,788.67","1,791.69","1,794.86","1,774.84","-0.35%"
"Dec 03, 2010","1,794.97","1,791.11","1,796.22","1,770.97","0.02%"
"Dec 02, 2010","1,794.63","1,794.97","1,803.76","1,780.56","-0.15%"
"Dec 01, 2010","1,797.39","1,800.41","1,804.94","1,785.14","-0.20%"
