"Date","Price","Open","High","Low","Change %"
"Jun 29, 2018","168.41","169.24","169.42","167.88","-0.47%"
"Jun 28, 2018","169.21","170.01","170.22","169.12","-0.53%"
"Jun 27, 2018","170.12","170.09","170.53","169.19","0.06%"
"Jun 26, 2018","170.01","170.54","170.95","169.86","-0.32%"
"Jun 25, 2018","170.56","170.93","171.93","170.46","-0.22%"
"Jun 22, 2018","170.93","171.03","171.63","170.31","-0.06%"
"Jun 21, 2018","171.03","171.48","171.60","170.35","-0.25%"
"Jun 20, 2018","171.46","171.38","171.66","170.65","0.01%"
"Jun 19, 2018","171.45","171.47","172.68","171.17","0.05%"
"Jun 18, 2018","171.37","171.25","171.97","170.95","0.01%"
"Jun 15, 2018","171.35","170.07","171.59","169.59","0.72%"
"Jun 14, 2018","170.13","169.75","170.26","169.00","0.23%"
"Jun 13, 2018","169.74","168.94","170.16","168.63","0.46%"
"Jun 12, 2018","168.96","168.26","169.06","167.61","0.44%"
"Jun 11, 2018","168.22","167.75","168.35","167.34","0.26%"
"Jun 08, 2018","167.78","167.81","168.36","167.47","0.02%"
"Jun 07, 2018","167.74","166.96","168.06","166.78","0.44%"
"Jun 06, 2018","167.00","167.35","167.47","166.77","-0.20%"
"Jun 05, 2018","167.34","166.91","167.56","166.63","0.20%"
"Jun 04, 2018","167.00","167.08","167.31","166.69","0.03%"
"Jun 01, 2018","166.95","168.63","168.75","166.86","-0.96%"
"May 31, 2018","168.57","167.74","168.94","167.54","0.46%"
"May 30, 2018","167.80","169.02","169.17","167.76","-0.69%"
"May 29, 2018","168.97","168.05","169.26","167.82","0.56%"
"May 28, 2018","168.03","168.68","168.68","167.66","-0.41%"
"May 25, 2018","168.72","169.56","169.79","168.34","-0.51%"
"May 24, 2018","169.59","168.67","170.32","168.37","0.58%"
"May 23, 2018","168.62","169.06","169.78","168.54","-0.26%"
"May 22, 2018","169.06","168.78","169.35","168.60","0.14%"
"May 21, 2018","168.82","169.47","170.49","168.81","-0.40%"
"May 18, 2018","169.49","170.04","170.27","169.07","-0.32%"
"May 17, 2018","170.03","169.16","170.25","168.97","0.52%"
"May 16, 2018","169.15","169.47","170.15","168.97","-0.19%"
"May 15, 2018","169.47","168.94","169.74","168.56","0.31%"
"May 14, 2018","168.94","168.64","168.99","168.07","0.20%"
"May 11, 2018","168.61","167.74","168.87","167.58","0.45%"
"May 10, 2018","167.86","169.70","170.02","167.65","-1.06%"
"May 09, 2018","169.65","169.34","170.17","169.06","0.21%"
"May 08, 2018","169.30","169.61","169.82","169.06","-0.20%"
"May 07, 2018","169.64","168.84","170.09","168.63","0.49%"
"May 04, 2018","168.81","169.34","170.03","168.71","-0.28%"
"May 03, 2018","169.28","169.73","170.06","168.87","-0.26%"
"May 02, 2018","169.72","169.51","169.88","168.81","0.13%"
"May 01, 2018","169.50","169.00","169.77","168.85","0.28%"
"Apr 30, 2018","169.02","168.56","169.22","168.32","0.24%"
"Apr 27, 2018","168.61","170.03","170.46","168.34","-0.86%"
"Apr 26, 2018","170.07","171.06","171.19","170.00","-0.58%"
"Apr 25, 2018","171.06","170.82","171.76","170.52","0.14%"
