"Date","Price","Open","High","Low","Change %"
"Mar 31, 2011","1,132.46","1,137.29","1,142.09","1,130.22","-0.60%"
"Mar 30, 2011","1,139.26","1,142.26","1,146.01","1,132.19","-0.38%"
"Mar 29, 2011","1,143.57","1,139.16","1,144.98","1,134.71","0.22%"
"Mar 28, 2011","1,141.07","1,137.58","1,150.58","1,136.47","0.08%"
"Mar 25, 2011","1,140.11","1,141.64","1,143.98","1,134.16","-0.24%"
"Mar 24, 2011","1,142.89","1,135.42","1,144.56","1,132.94","0.48%"
"Mar 23, 2011","1,137.44","1,131.81","1,142.16","1,127.30","0.45%"
"Mar 22, 2011","1,132.38","1,126.95","1,137.13","1,124.71","0.30%"
"Mar 21, 2011","1,129.02","1,119.70","1,131.63","1,119.59","0.65%"
"Mar 18, 2011","1,121.74","1,112.59","1,123.30","1,108.40","0.71%"
"Mar 17, 2011","1,113.88","1,110.96","1,122.27","1,102.33","0.20%"
"Mar 16, 2011","1,111.66","1,121.31","1,128.92","1,107.66","-1.08%"
"Mar 15, 2011","1,123.76","1,133.58","1,138.44","1,114.36","-1.00%"
"Mar 14, 2011","1,135.07","1,136.87","1,144.41","1,130.37","-0.67%"
"Mar 11, 2011","1,142.74","1,125.68","1,144.43","1,121.05","1.29%"
"Mar 10, 2011","1,128.18","1,124.41","1,131.57","1,122.27","0.17%"
"Mar 09, 2011","1,126.24","1,125.48","1,130.09","1,118.57","-0.05%"
"Mar 08, 2011","1,126.83","1,128.63","1,134.17","1,124.30","-0.46%"
"Mar 07, 2011","1,132.05","1,134.26","1,139.53","1,126.34","-0.19%"
"Mar 04, 2011","1,134.17","1,129.32","1,134.51","1,123.64","0.16%"
"Mar 03, 2011","1,132.31","1,139.89","1,145.04","1,128.78","-0.86%"
"Mar 02, 2011","1,142.10","1,139.17","1,148.38","1,136.41","-0.01%"
"Mar 01, 2011","1,142.24","1,145.23","1,152.59","1,137.71","-0.35%"
"Feb 28, 2011","1,146.28","1,142.55","1,150.34","1,139.19","-0.04%"
"Feb 25, 2011","1,146.78","1,140.22","1,147.23","1,136.39","0.43%"
"Feb 24, 2011","1,141.83","1,129.00","1,147.79","1,126.93","0.84%"
"Feb 23, 2011","1,132.30","1,125.79","1,137.63","1,121.92","0.31%"
"Feb 22, 2011","1,128.84","1,128.62","1,138.24","1,122.09","-0.09%"
"Feb 21, 2011","1,129.82","1,125.33","1,134.01","1,124.33","0.10%"
"Feb 18, 2011","1,128.70","1,127.43","1,131.26","1,121.00","0.08%"
"Feb 17, 2011","1,127.78","1,117.34","1,130.36","1,115.56","0.56%"
"Feb 16, 2011","1,121.55","1,116.65","1,124.70","1,112.51","0.16%"
"Feb 15, 2011","1,119.76","1,126.31","1,132.72","1,114.46","-0.72%"
"Feb 14, 2011","1,127.83","1,119.32","1,132.46","1,118.42","-0.17%"
"Feb 11, 2011","1,129.75","1,121.47","1,130.53","1,115.63","0.51%"
